,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_home,reb_home,pts_home,wl_home,ast_home,tov_home,pf_home,plus_minus_home,game_year,off_rebounds_home
9279,20800166,1,5,1,3,0,0,0,0,0,1,1,San Antonio Spurs,37.0,81.0,L,20.0,16.0,22.0,-10,2008,11
9280,20800167,2,2,0,1,0,1,0,0,0,0,0,Utah Jazz,37.0,105.0,W,21.0,11.0,20.0,11,2008,5
9281,20800168,1,7,2,2,0,0,0,0,0,0,2,Portland Trail Blazers,49.0,116.0,W,24.0,17.0,21.0,42,2008,12
9282,20800169,4,5,1,1,0,0,0,0,0,0,0,Boston Celtics,42.0,98.0,W,22.0,13.0,18.0,18,2008,11
9283,20800170,3,5,1,2,0,0,0,0,0,0,0,Phoenix Suns,46.0,92.0,L,22.0,15.0,16.0,-13,2008,11
9284,20800171,7,5,1,1,0,0,0,0,0,0,0,Indiana Pacers,53.0,98.0,L,22.0,14.0,18.0,-2,2008,14
9285,20800172,1,5,2,1,0,1,0,0,0,0,0,Philadelphia 76ers,41.0,89.0,W,22.0,19.0,21.0,1,2008,9
9286,20800173,1,3,0,0,0,0,0,0,0,1,0,Toronto Raptors,44.0,127.0,L,31.0,14.0,22.0,-2,2008,5
9287,20800174,2,6,0,2,0,0,0,0,0,0,0,Washington Wizards,35.0,91.0,L,20.0,10.0,26.0,-12,2008,10
9288,20800175,0,3,0,0,0,0,0,0,0,1,2,Atlanta Hawks,41.0,88.0,W,21.0,21.0,19.0,5,2008,4
9289,20800176,2,6,0,1,0,0,0,0,0,0,0,Minnesota Timberwolves,41.0,78.0,L,14.0,14.0,22.0,-17,2008,9
9290,20800178,4,8,1,1,0,0,0,0,0,0,2,Milwaukee Bucks,60.0,104.0,W,24.0,14.0,17.0,17,2008,14
9291,20800179,7,2,0,0,0,0,0,0,0,0,0,San Antonio Spurs,36.0,119.0,W,23.0,11.0,21.0,25,2008,9
9292,20800180,3,1,0,4,0,0,0,0,0,0,0,Oklahoma City Thunder,48.0,80.0,L,14.0,26.0,22.0,-25,2008,8
9293,20800181,2,5,1,1,0,0,0,0,0,0,0,Sacramento Kings,29.0,96.0,L,24.0,13.0,16.0,-21,2008,9
9294,20800182,2,2,1,2,0,0,1,0,0,0,3,Golden State Warriors,39.0,110.0,L,22.0,16.0,14.0,-5,2008,8
9295,20800183,6,4,1,1,0,0,0,0,0,0,0,Los Angeles Lakers,43.0,104.0,W,22.0,15.0,20.0,14,2008,12
9296,20800184,3,4,1,3,1,0,0,0,0,0,1,Charlotte Hornets,44.0,74.0,L,13.0,18.0,28.0,-5,2008,11
9297,20800185,2,4,1,0,0,0,0,0,0,0,0,Orlando Magic,38.0,95.0,L,19.0,13.0,16.0,-5,2008,7
9298,20800187,3,0,0,2,0,0,0,0,0,0,0,Miami Heat,36.0,109.0,W,19.0,11.0,22.0,9,2008,5
9299,20800188,4,4,0,1,0,0,0,1,0,0,0,Brooklyn Nets,45.0,112.0,W,21.0,13.0,19.0,17,2008,9
9300,20800190,3,5,2,0,0,0,0,0,0,0,1,Memphis Grizzlies,34.0,94.0,L,16.0,20.0,23.0,-9,2008,10
9301,20800191,3,2,1,0,0,0,0,0,0,0,0,New Orleans Pelicans,35.0,109.0,W,24.0,12.0,18.0,12,2008,6
9302,20800192,1,4,1,4,0,0,0,0,0,0,0,Phoenix Suns,44.0,102.0,W,24.0,18.0,14.0,10,2008,10
