,game_id,fg_scored,fg_missed,turnover,personal_foul,violation,substitution,time_out,jump_ball,ejection,end_of_period,else,team_name_away,reb_away,pts_away,wl_away,ast_away,tov_away,pf_away,plus_minus_away,game_year,off_rebounds_away
26695,29800448,0,1,0,1,0,0,1,0,0,0,1,Indiana Pacers,35.0,87.0,W,25.0,15.0,18.0,6,1999,3
26696,29800449,2,5,0,1,0,0,0,0,0,0,1,Memphis Grizzlies,38.0,81.0,L,18.0,15.0,18.0,-3,1999,8
26697,29800450,6,3,0,1,0,0,0,0,0,0,0,Orlando Magic,50.0,115.0,W,31.0,15.0,17.0,47,1999,10
26698,29800451,3,3,0,1,0,0,0,0,0,0,1,Denver Nuggets,34.0,88.0,L,16.0,18.0,13.0,-19,1999,7
26699,29800452,2,4,1,0,0,0,0,0,0,0,3,Los Angeles Lakers,40.0,91.0,W,21.0,12.0,22.0,1,1999,7
26700,29800453,0,0,1,0,0,0,0,0,0,1,0,Utah Jazz,34.0,92.0,W,26.0,19.0,21.0,7,1999,2
26701,29800454,1,3,1,2,0,0,0,0,0,0,2,Oklahoma City Thunder,35.0,95.0,L,25.0,18.0,25.0,-12,1999,7
26702,29800455,3,4,3,3,0,0,0,0,0,0,0,Miami Heat,54.0,77.0,L,15.0,21.0,28.0,-11,1999,13
26703,29800456,4,5,1,0,0,0,0,0,0,0,0,Washington Wizards,42.0,85.0,L,20.0,17.0,24.0,-2,1999,10
26704,29800457,2,3,0,3,0,0,0,0,0,0,0,Orlando Magic,34.0,92.0,W,23.0,18.0,15.0,15,1999,8
26705,29800458,4,3,0,1,0,0,0,0,0,0,1,Sacramento Kings,43.0,96.0,L,27.0,16.0,18.0,-9,1999,8
26706,29800459,5,3,1,2,0,0,0,0,0,0,3,Los Angeles Clippers,38.0,82.0,L,15.0,15.0,28.0,-21,1999,11
26707,29800461,2,0,1,0,0,0,0,0,0,0,0,Phoenix Suns,29.0,93.0,L,20.0,17.0,28.0,-5,1999,3
26708,29800462,4,1,2,3,0,0,0,0,0,0,1,Brooklyn Nets,41.0,91.0,W,19.0,14.0,18.0,12,1999,10
26709,29800463,3,1,1,1,0,0,0,0,0,0,0,Miami Heat,40.0,90.0,W,20.0,13.0,22.0,11,1999,6
26710,29800464,1,2,0,2,0,0,0,0,0,0,0,Charlotte Hornets,38.0,83.0,L,15.0,16.0,22.0,-2,1999,5
26711,29800465,5,6,2,1,0,0,0,0,0,0,0,Philadelphia 76ers,35.0,82.0,L,16.0,19.0,18.0,-15,1999,14
26712,29800466,2,4,0,0,0,0,0,0,0,0,0,Milwaukee Bucks,36.0,74.0,L,20.0,14.0,28.0,-24,1999,6
26713,29800467,4,6,0,2,0,0,0,0,0,0,1,New York Knicks,39.0,95.0,L,18.0,10.0,24.0,-13,1999,12
26714,29800469,2,5,1,0,0,0,1,0,0,0,3,Los Angeles Clippers,42.0,80.0,L,19.0,19.0,19.0,-2,1999,9
26715,29800470,3,5,1,1,0,0,0,0,0,1,0,Houston Rockets,45.0,84.0,L,22.0,14.0,20.0,-17,1999,11
26716,29800472,4,2,0,2,0,0,0,0,0,1,1,Atlanta Hawks,47.0,77.0,W,20.0,23.0,21.0,6,1999,9
26717,29800473,2,2,1,1,0,0,0,0,0,0,0,Indiana Pacers,37.0,88.0,W,22.0,9.0,20.0,2,1999,6
26718,29800474,2,1,2,4,0,0,0,0,0,0,0,Dallas Mavericks,37.0,93.0,L,19.0,20.0,25.0,-7,1999,9
26719,29800475,2,8,1,5,0,0,0,0,0,1,2,Golden State Warriors,54.0,86.0,L,15.0,13.0,29.0,-7,1999,17
26720,29800476,1,3,0,2,0,0,0,0,0,0,1,Denver Nuggets,36.0,104.0,L,17.0,15.0,25.0,-13,1999,6
